base_rent,qm,rent_per_qm,data_set
650,30,21.67,immoscout
720,48,15.00,immoscout
3058.6,203.1,15.06,immoscout
1539,81,19.00,immoscout
6062.05,391.1,15.50,immoscout
630,66.14,9.53,immoscout
3617.6,190.4,19.00,immoscout
1287,58.5,22.00,immoscout
3216.57,185.5,17.34,immoscout
3495.74,190.4,18.36,immoscout
2448,150,16.32,immoscout
1915.5,127.7,15.00,immoscout
2320,230,10.09,immoscout
2385,180,13.25,immoscout
483.4,54.67,8.84,immoscout
695.56,70,9.94,immoscout
330.56,45,7.35,immoscout
3000,130,23.08,immoscout
2159,135,15.99,immoscout
3000,130,23.08,immoscout
224.68,29.22,7.69,immoscout
376.87,59.82,6.30,immoscout
293.24,48.55,6.04,immoscout
949.55,59.31,16.01,immoscout
590,62.03,9.51,immoscout
544.32,64.6,8.43,immoscout
575.62,81.77,7.04,immoscout
457.04,52.72,8.67,immoscout
680,68,10.00,immoscout
1035,114.5,9.04,immoscout
650,55,11.82,immoscout
530.75,39.42,13.46,immoscout
3944,215,18.34,immoscout
4199,226,18.58,immoscout
795.9,88.63,8.98,immoscout
323.15,55.8,5.79,immoscout
780,21,37.14,immoscout
942.5,72.5,13.00,immoscout
500.8,87.05,5.75,immoscout
319.94,52.97,6.04,immoscout
1479.52,105.68,14.00,immoscout
494.41,43.87,11.27,immoscout
1020,64,15.94,immoscout
1060,106,10.00,immoscout
820,78.03,10.51,immoscout
1710,116,14.74,immoscout
1425,85,16.76,immoscout
1375,73,18.84,immoscout
410,41,10.00,immoscout
500,23,21.74,immoscout
286.66,47.46,6.04,immoscout
644,56,11.50,immoscout
764.85,50.99,15.00,immoscout
644,56,11.50,immoscout
460.37,48.46,9.50,immoscout
804.73,81.04,9.93,immoscout
650,55.49,11.71,immoscout
337.75,56.9,5.94,immoscout
664,63.2,10.51,immoscout
975,65,15.00,immoscout
825,90,9.17,immoscout
720,60,12.00,immoscout
890,25.62,34.74,immoscout
1059,50,21.18,immoscout
890,24.69,36.05,immoscout
1170,78,15.00,immoscout
1145,121,9.46,immoscout
460,19.35,23.77,immoscout
515,28,18.39,immoscout
460,19.5,23.59,immoscout
495.38,29.14,17.00,immoscout
2289.75,107.5,21.30,immoscout
2173.57,111.18,19.55,immoscout
2399.65,117.63,20.40,immoscout
454.12,49.96,9.09,immoscout
302.12,50,6.04,immoscout
360.32,65.5,5.50,immoscout
374.89,68,5.51,immoscout
340.88,60.5,5.63,immoscout
281.01,47.5,5.92,immoscout
411.23,75,5.48,immoscout
429.55,62.5,6.87,immoscout
395.41,70,5.65,immoscout
379.3,58,6.54,immoscout
366.54,68.5,5.35,immoscout
272.33,46,5.92,immoscout
444.14,54.5,8.15,immoscout
465.59,27.98,16.64,immoscout
1733.25,115.55,15.00,immoscout
404.64,67.44,6.00,immoscout
698.31,73.99,9.44,immoscout
1034,94,11.00,immoscout
498.76,69.33,7.19,immoscout
327.23,29.48,11.10,immoscout
531.49,88.33,6.02,immoscout
1384.74,153.86,9.00,immoscout
376.66,48.29,7.80,immoscout
333.29,43.1,7.73,immoscout
242.24,29.48,8.22,immoscout
473.61,54.88,8.63,immoscout
420.66,52.03,8.08,immoscout
800,19.94,40.12,immoscout
830,47.65,17.42,immoscout
676,68.1,9.93,immoscout
859,76,11.30,immoscout
995,111,8.96,immoscout
1809.22,95.98,18.85,immoscout
640,70,9.14,immoscout
634.12,52.33,12.12,immoscout
528.69,58.91,8.97,immoscout
490.31,58.51,8.38,immoscout
297.07,49.43,6.01,immoscout
333.34,51.68,6.45,immoscout
246.61,35.28,6.99,immoscout
250.24,35.8,6.99,immoscout
245.65,40.27,6.10,immoscout
318.55,52.74,6.04,immoscout
470,43,10.93,immoscout
850,30.14,28.20,immoscout
750,53,14.15,immoscout
666,68,9.79,immoscout
1722,123,14.00,immoscout
1618.54,115.61,14.00,immoscout
2052.76,108.04,19.00,immoscout
479.4,70,6.85,immoscout
885,98.25,9.01,immoscout
486.76,45.07,10.80,immoscout
842,93.5,9.01,immoscout
847.5,75,11.30,immoscout
600,50,12.00,immoscout
580,28,20.71,immoscout
511,37,13.81,immoscout
795,53,15.00,immoscout
1580,105,15.05,immoscout
1795,119,15.08,immoscout
1405,100,14.05,immoscout
1265,84,15.06,immoscout
1904,119,16.00,immoscout
1265,84,15.06,immoscout
1438,95,15.14,immoscout
1166,94,12.40,immoscout
960,53,18.11,immoscout
2168.32,98.56,22.00,immoscout
877,46.87,18.71,immoscout
531.72,45.72,11.63,immoscout
1733.4,86.67,20.00,immoscout
950,66,14.39,immoscout
732,79.84,9.17,immoscout
1000,98.21,10.18,immoscout
701.37,48.37,14.50,immoscout
1450,135,10.74,immoscout
500.57,65.18,7.68,immoscout
263,34.6,7.60,immoscout
521,89.8,5.80,immoscout
457.24,38.79,11.79,immoscout
1190,98,12.14,immoscout
2850,101,28.22,immoscout
1160,70,16.57,immoscout
553,55.81,9.91,immoscout
860,76,11.32,immoscout
1749,105,16.66,immoscout
604.55,74.36,8.13,immoscout
490,68.14,7.19,immoscout
626,25,25.04,immoscout
460,25.55,18.00,immoscout
382.58,53.21,7.19,immoscout
382.58,53.21,7.19,immoscout
550,31,17.74,immoscout
700.01,59.83,11.70,immoscout
803.4,59.13,13.59,immoscout
255.99,41.49,6.17,immoscout
780,40,19.50,immoscout
1040,42,24.76,immoscout
1190,50,23.80,immoscout
950,34,27.94,immoscout
426.39,47.69,8.94,immoscout
817.37,77.11,10.60,immoscout
445,40,11.13,immoscout
1349,80.6,16.74,immoscout
525,53,9.91,immoscout
420,39,10.77,immoscout
2236,86,26.00,immoscout
467.3,67.14,6.96,immoscout
858.77,67.62,12.70,immoscout
859.54,67.68,12.70,immoscout
1180,97.81,12.06,immoscout
640.46,71.5,8.96,immoscout
600,53.41,11.23,immoscout
2850,188,15.16,immoscout
820.22,50.96,16.10,immoscout
598,69.55,8.60,immoscout
1000,70,14.29,immoscout
666,77.42,8.60,immoscout
829,92.11,9.00,immoscout
662,76.93,8.61,immoscout
1500,100,15.00,immoscout
850,32,26.56,immoscout
709.89,55,12.91,immoscout
530,23.61,22.45,immoscout
1213,55.14,22.00,immoscout
1700,170,10.00,immoscout
649,28.81,22.53,immoscout
561.71,59,9.52,immoscout
1110,63.5,17.48,immoscout
415,51.9,8.00,immoscout
887,73.88,12.01,immoscout
850,61,13.93,immoscout
959,58.1,16.51,immoscout
1516.62,108.33,14.00,immoscout
1157,71.62,16.15,immoscout
1199.52,74.97,16.00,immoscout
1055.52,62.51,16.89,immoscout
1934.76,128.47,15.06,immoscout
3358.63,246.47,13.63,immoscout
1900,104,18.27,immoscout
1135,54.53,20.81,immoscout
368.7,44.93,8.21,immoscout
2064.63,110,18.77,immoscout
850,42,20.24,immoscout
495,65.99,7.50,immoscout
1190,108.05,11.01,immoscout
1073,32,33.53,immoscout
1348,60,22.47,immoscout
1348,60,22.47,immoscout
730,42,17.38,immoscout
1458.9,78,18.70,immoscout
1697,83,20.45,immoscout
1650,110,15.00,immoscout
2200,160,13.75,immoscout
1697,83,20.45,immoscout
1073,32,33.53,immoscout
947,30,31.57,immoscout
1348,60,22.47,immoscout
1697,83,20.45,immoscout
1084.45,94,11.54,immoscout
750,40,18.75,immoscout
1550,82,18.90,immoscout
1230,58,21.21,immoscout
1080,55,19.64,immoscout
1245,60,20.75,immoscout
515.36,63.39,8.13,immoscout
1547,67,23.09,immoscout
1498,82,18.27,immoscout
595.2,49.6,12.00,immoscout
760,29.12,26.10,immoscout
3099,159.22,19.46,immoscout
682.99,74.4,9.18,immoscout
1300,100,13.00,immoscout
799,36,22.19,immoscout
847,30,28.23,immoscout
2900,158.85,18.26,immoscout
999,52,19.21,immoscout
1291,54.61,23.64,immoscout
460,19.5,23.59,immoscout
614,75,8.19,immoscout
1500,105,14.29,immoscout
2350,90,26.11,immoscout
2350,90,26.11,immoscout
2350,90,26.11,immoscout
1300,47.14,27.58,immoscout
1300,47.14,27.58,immoscout
1300,47.14,27.58,immoscout
746.58,64.72,11.54,immoscout
750,65,11.54,immoscout
746.58,64.72,11.54,immoscout
325.98,36.22,9.00,immoscout
843,62,13.60,immoscout
337.66,33.8,9.99,immoscout
755.54,75.63,9.99,immoscout
337.66,33.8,9.99,immoscout
905.28,56.58,16.00,immoscout
349.97,67.43,5.19,immoscout
337.66,33.8,9.99,immoscout
452.88,74.98,6.04,immoscout
482.13,64.37,7.49,immoscout
300.66,41.45,7.25,immoscout
2646.13,139.24,19.00,immoscout
1100,91,12.09,immoscout
800,80,10.00,immoscout
930,85,10.94,immoscout
1000,81,12.35,immoscout
920,98.5,9.34,immoscout
718,73.44,9.78,immoscout
1300,70,18.57,immoscout
620,12,51.67,immoscout
964.98,66,14.62,immoscout
495,65,7.62,immoscout
1392,92,15.13,immoscout
930,65,14.31,immoscout
1232,88,14.00,immoscout
1498,89,16.83,immoscout
2350,144,16.32,immoscout
1057,68.22,15.49,immoscout
800,16,50.00,immoscout
370,51,7.25,immoscout
993,66.21,15.00,immoscout
1280,100,12.80,immoscout
520,60.93,8.53,immoscout
1697,83,20.45,immoscout
1358,58,23.41,immoscout
800,65,12.31,immoscout
1047,80,13.09,immoscout
365.82,33.5,10.92,immoscout
327.69,30,10.92,immoscout
669,64.67,10.34,immoscout
894.37,60.64,14.75,immoscout
1650,105,15.71,immoscout
660,42,15.71,immoscout
650,18.6,34.95,immoscout
1525,111,13.74,immoscout
1650,55,30.00,immoscout
960,59,16.27,immoscout
900,82,10.98,immoscout
2118.29,108.63,19.50,immoscout
1731,94,18.41,immoscout
1450,47,30.85,immoscout
999,48,20.81,immoscout
1649.7,103.3,15.97,immoscout
1950,73,26.71,immoscout
1020,65,15.69,immoscout
1050,60,17.50,immoscout
950,76.5,12.42,immoscout
934,50,18.68,immoscout
2400,145,16.55,immoscout
502.05,32.39,15.50,immoscout
1484,106,14.00,immoscout
1695,133,12.74,immoscout
1450,98,14.80,immoscout
960,50,19.20,immoscout
730,73,10.00,immoscout
820,42.5,19.29,immoscout
950,41,23.17,immoscout
2750,140,19.64,immoscout
2130.48,96.84,22.00,immoscout
1370,82,16.71,immoscout
1500,83.67,17.93,immoscout
980,58.3,16.81,immoscout
925,50.2,18.43,immoscout
4000,195,20.51,immoscout
485,42.5,11.41,immoscout
1272.3,95.7,13.29,immoscout
674.5,61.28,11.01,immoscout
1131.3,65.85,17.18,immoscout
475.5,55.64,8.55,immoscout
1755,80,21.94,immoscout
1032,102.65,10.05,immoscout
1522.08,84.56,18.00,immoscout
1332,135.63,9.82,immoscout
1469,129.18,11.37,immoscout
1100,80,13.75,immoscout
1500,95,15.79,immoscout
1100,61.91,17.77,immoscout
1400,66.4,21.08,immoscout
400,35,11.43,immoscout
500,59,8.47,immoscout
1245,60,20.75,immoscout
1498,82,18.27,immoscout
1073,32,33.53,immoscout
1230,58,21.21,immoscout
1573,67,23.48,immoscout
1348,60,22.47,immoscout
2000,210,9.52,immoscout
1697,83,20.45,immoscout
799,36,22.19,immoscout
847,30,28.23,immoscout
760,29.12,26.10,immoscout
999,52,19.21,immoscout
1450,85.31,17.00,immoscout
1198,55.02,21.77,immoscout
2100,139.75,15.03,immoscout
521,32,16.28,immoscout
1291,54.61,23.64,immoscout
909,82,11.09,immoscout
1100,72,15.28,immoscout
490,70.21,6.98,immoscout
2225,90,24.72,immoscout
3264,167.36,19.50,immoscout
2190,112.27,19.51,immoscout
3111,160,19.44,immoscout
952,68,14.00,immoscout
675,32,21.09,immoscout
2050,108.5,18.89,immoscout
690,69,10.00,immoscout
695,32,21.72,immoscout
1200,59,20.34,immoscout
1800,94,19.15,immoscout
1188,66,18.00,immoscout
360,36,10.00,immoscout
1370,70,19.57,immoscout
1050,80,13.13,immoscout
338.33,41,8.25,immoscout
580.05,101,5.74,immoscout
1045,62,16.85,immoscout
361.92,60,6.03,immoscout
668.22,86,7.77,immoscout
2717.13,194,14.01,immoscout
1340,120,11.17,immoscout
520,39.4,13.20,immoscout
698,38.78,18.00,immoscout
1100,86.98,12.65,immoscout
1150,122,9.43,immoscout
1625,137.31,11.83,immoscout
1787,119,15.02,immoscout
751.48,71.57,10.50,immoscout
1148.96,71.81,16.00,immoscout
1400,85,16.47,immoscout
650,25,26.00,immoscout
1600,105,15.24,immoscout
1695,98,17.30,immoscout
2148,143.13,15.01,immoscout
1580,96.12,16.44,immoscout
2190,98,22.35,immoscout
780.3,45,17.34,immoscout
969.6,64.64,15.00,immoscout
427,50.26,8.50,immoscout
999,54,18.50,immoscout
2312,136,17.00,immoscout
1484,53,28.00,immoscout
252.81,48.5,5.21,immoscout
4790,171.8,27.88,immoscout
459.9,82.5,5.57,immoscout
951.76,91,10.46,immoscout
358.83,57,6.30,immoscout
304.05,50.5,6.02,immoscout
294.03,48.5,6.06,immoscout
975,84.3,11.57,immoscout
1422,149,9.54,immoscout
577.03,58,9.95,immoscout
649,48.43,13.40,immoscout
1029,77.48,13.28,immoscout
689,56.36,12.22,immoscout
1309.66,59.53,22.00,immoscout
2274.98,71.09,32.00,immoscout
1577.34,68.58,23.00,immoscout
1020,67,15.22,immoscout
2091.94,65.37,32.00,immoscout
1577.34,68.58,23.00,immoscout
1605.82,50.18,32.00,immoscout
1664,104.1,15.98,immoscout
882.34,97,9.10,immoscout
850,62.69,13.56,immoscout
400,38.88,10.29,immoscout
1027.86,70.62,14.55,immoscout
1000,70,14.29,immoscout
1509.98,110.91,13.61,immoscout
1514.49,114.8,13.19,immoscout
1068,89,12.00,immoscout
960,46,20.87,immoscout
2140,130.55,16.39,immoscout
790,33,23.94,immoscout
2354,204,11.54,immoscout
1590,52.25,30.43,immoscout
1270,95.57,13.29,immoscout
655.97,96,6.83,immoscout
830,65.3,12.71,immoscout
276.91,37,7.48,immoscout
700,46,15.22,immoscout
880,44,20.00,immoscout
523.23,54.61,9.58,immoscout
414.86,51,8.13,immoscout
974.3,101.57,9.59,immoscout
4200,116,36.21,immoscout
770,56.57,13.61,immoscout
1130,76.46,14.78,immoscout
1130,85.32,13.24,immoscout
990,55,18.00,immoscout
1640,122.91,13.34,immoscout
1670,122.92,13.59,immoscout
540,36.68,14.72,immoscout
580,39.58,14.65,immoscout
1700,150,11.33,immoscout
490,39,12.56,immoscout
1590,98,16.22,immoscout
999,27.75,36.00,immoscout
692,44,15.73,immoscout
990,53.36,18.55,immoscout
509.75,51.49,9.90,immoscout
1347,110,12.25,immoscout
1655.8,116,14.27,immoscout
1275,155.32,8.21,immoscout
1400,81.12,17.26,immoscout
473.48,68,6.96,immoscout
587.38,64,9.18,immoscout
850,48.74,17.44,immoscout
1550,100.47,15.43,immoscout
730,63,11.59,immoscout
1050,70,15.00,immoscout
1389.24,81.72,17.00,immoscout
3229.92,169.82,19.02,immoscout
498.9,83,6.01,immoscout
1772.51,89.62,19.78,immoscout
599,50.23,11.93,immoscout
326.52,48,6.80,immoscout
1390,45,30.89,immoscout
454.66,57,7.98,immoscout
11548.8,294.99,39.15,immoscout
945,65,14.54,immoscout
920.92,64.97,14.17,immoscout
1169.87,63.49,18.43,immoscout
1213.27,65.76,18.45,immoscout
1518.5,85.07,17.85,immoscout
459.56,66,6.96,immoscout
1095.33,62.95,17.40,immoscout
1180.29,65.03,18.15,immoscout
714.51,32.83,21.76,immoscout
1308.4,130.84,10.00,immoscout
980,55,17.82,immoscout
1670,151,11.06,immoscout
700,43.73,16.01,immoscout
1650,130.31,12.66,immoscout
1150,76.51,15.03,immoscout
580,36.14,16.05,immoscout
825,51.58,15.99,immoscout
1100,70,15.71,immoscout
1550,117.5,13.19,immoscout
950,50,19.00,immoscout
1507.63,100,15.08,immoscout
1200,65.41,18.35,immoscout
1340,65,20.62,immoscout
354.51,49,7.23,immoscout
328.54,41,8.01,immoscout
2200,136.16,16.16,immoscout
1500,79,18.99,immoscout
485,48.37,10.03,immoscout
2570,117,21.97,immoscout
1060,70,15.14,immoscout
1040,78.91,13.18,immoscout
3500,150,23.33,immoscout
1300,73.81,17.61,immoscout
520.31,74.33,7.00,immoscout
399.02,53,7.53,immoscout
380,47.5,8.00,immoscout
404.37,54,7.49,immoscout
940,70.12,13.41,immoscout
480,27,17.78,immoscout
734.75,92.9,7.91,immoscout
1650,93,17.74,immoscout
852.5,77.5,11.00,immoscout
479.07,58.38,8.21,immoscout
1570.8,68.63,22.89,immoscout
644.48,80.59,8.00,immoscout
1100,50,22.00,immoscout
1400,65,21.54,immoscout
653.27,81.69,8.00,immoscout
481,53.47,9.00,immoscout
1445.47,168,8.60,immoscout
620,25.63,24.19,immoscout
1579.45,133.4,11.84,immoscout
835,37.24,22.42,immoscout
970,42.35,22.90,immoscout
710,28.76,24.69,immoscout
480,30,16.00,immoscout
900,45,20.00,immoscout
1655,159.2,10.40,immoscout
304.15,35,8.69,immoscout
1470,86,17.09,immoscout
1500,102,14.71,immoscout
262.04,31.89,8.22,immoscout
740.43,91.83,8.06,immoscout
1900,130,14.62,immoscout
395.02,36.03,10.96,immoscout
1600,65,24.62,immoscout
1250,68.5,18.25,immoscout
684.97,84.88,8.07,immoscout
864.6,116.1,7.45,immoscout
2100,129,16.28,immoscout
1666.68,89.8,18.56,immoscout
454.91,60.98,7.46,immoscout
367.98,38.03,9.68,immoscout
585,37.13,15.76,immoscout
344.19,56.61,6.08,immoscout
455,35,13.00,immoscout
356.8,43,8.30,immoscout
750,27,27.78,immoscout
353.35,43,8.22,immoscout
768.12,97,7.92,immoscout
338.67,30.39,11.14,immoscout
407.46,37.55,10.85,immoscout
849,94.39,8.99,immoscout
629,68.99,9.12,immoscout
749.22,55.09,13.60,immoscout
590,24.45,24.13,immoscout
765,34,22.50,immoscout
790,87.51,9.03,immoscout
297,40,7.43,immoscout
957.02,139,6.89,immoscout
1300,50,26.00,immoscout
489.82,59,8.30,immoscout
1450,101,14.36,immoscout
1682.65,111.73,15.06,immoscout
2001.02,132.87,15.06,immoscout
2197.4,145.91,15.06,immoscout
1350,82,16.46,immoscout
1664,131.67,12.64,immoscout
