base_rent,qm,rent_per_qm,data_set
1150,58,19.83,immoscout
1998,118.3,16.89,immoscout
3900,254,15.35,immoscout
1218,70.2,17.35,immoscout
620,45,13.78,immoscout
1073,63.13,17.00,immoscout
1374,79.1,17.37,immoscout
1856,106.07,17.50,immoscout
900,60.2,14.95,immoscout
1250,60.81,20.56,immoscout
1140,82.82,13.76,immoscout
1785,119,15.00,immoscout
1375,83,16.57,immoscout
660,10,66.00,immoscout
2000,141.58,14.13,immoscout
1888,118,16.00,immoscout
1980,162.5,12.18,immoscout
1625,109.72,14.81,immoscout
488,25,19.52,immoscout
1160,97,11.96,immoscout
3704.63,419.55,8.83,immoscout
1420,142,10.00,immoscout
767,29,26.45,immoscout
1332,94.68,14.07,immoscout
460,23.09,19.92,immoscout
980,52.15,18.79,immoscout
850,50,17.00,immoscout
4790,172,27.85,immoscout
1203.05,71.61,16.80,immoscout
945,74.68,12.65,immoscout
915,71.63,12.77,immoscout
826,49.37,16.73,immoscout
470,19.5,24.10,immoscout
2783,167,16.66,immoscout
1600,96,16.67,immoscout
272.53,41.34,6.59,immoscout
1303.75,87.5,14.90,immoscout
1347,94.68,14.23,immoscout
999,84.55,11.82,immoscout
609,43.9,13.87,immoscout
705.5,76.6,9.21,immoscout
834,79,10.56,immoscout
850,55,15.45,immoscout
900,64,14.06,immoscout
595,25.9,22.97,immoscout
1120,53.23,21.04,immoscout
690,71.2,9.69,immoscout
2635,119.8,21.99,immoscout
1500.24,98.7,15.20,immoscout
1670,89,18.76,immoscout
1150,59,19.49,immoscout
1270,64,19.84,immoscout
371.67,57.18,6.50,immoscout
287.89,44.29,6.50,immoscout
1105,34.87,31.69,immoscout
1105,38.36,28.81,immoscout
611.53,66.58,9.18,immoscout
1105,39.4,28.05,immoscout
1105,36.75,30.07,immoscout
870,25.85,33.66,immoscout
870,23.62,36.83,immoscout
1670,89,18.76,immoscout
939,67.95,13.82,immoscout
568.48,25.68,22.14,immoscout
841.19,43.1,19.52,immoscout
1600,139,11.51,immoscout
1033.35,46.97,22.00,immoscout
4650,218,21.33,immoscout
578,41.44,13.95,immoscout
944.63,58.6,16.12,immoscout
1588.48,99.28,16.00,immoscout
581,41.54,13.99,immoscout
592,42.92,13.79,immoscout
660,10,66.00,immoscout
1800,104,17.31,immoscout
1100,61,18.03,immoscout
751.6,37.58,20.00,immoscout
1350,67.5,20.00,immoscout
599,43.44,13.79,immoscout
560,60,9.33,immoscout
670,35,19.14,immoscout
372.63,49.29,7.56,immoscout
895.68,111.96,8.00,immoscout
1250,78,16.03,immoscout
2500,110,22.73,immoscout
1000,55,18.18,immoscout
1388,69.39,20.00,immoscout
715.19,79.8,8.96,immoscout
950,43,22.09,immoscout
391.33,57.38,6.82,immoscout
1400,78,17.95,immoscout
1524,88.25,17.27,immoscout
1800,94.47,19.05,immoscout
963,98,9.83,immoscout
1650,105,15.71,immoscout
1800,116,15.52,immoscout
650,68,9.56,immoscout
1173,56,20.95,immoscout
482.78,59.15,8.16,immoscout
2000,88,22.73,immoscout
1250,61.26,20.40,immoscout
1715.05,130.83,13.11,immoscout
753.06,69,10.91,immoscout
755,35,21.57,immoscout
2250,90.87,24.76,immoscout
1417.67,101.24,14.00,immoscout
799,68.14,11.73,immoscout
1399,103.77,13.48,immoscout
250,20,12.50,immoscout
550,53,10.38,immoscout
2151.66,153.69,14.00,immoscout
1580,120,13.17,immoscout
375.1,37.51,10.00,immoscout
1632,91.8,17.78,immoscout
780,17,45.88,immoscout
2187,96,22.78,immoscout
690,13,53.08,immoscout
1215,59,20.59,immoscout
620,8,77.50,immoscout
1500,84,17.86,immoscout
650,42,15.48,immoscout
1526,80,19.08,immoscout
1080,80,13.50,immoscout
2617.35,174.49,15.00,immoscout
1334,46,29.00,immoscout
1180,61.37,19.23,immoscout
1040,57.33,18.14,immoscout
1500,98.15,15.28,immoscout
1390,88.41,15.72,immoscout
1460,85.37,17.10,immoscout
990,57.31,17.27,immoscout
1030,65.96,15.62,immoscout
1370,81.12,16.89,immoscout
1600,96.3,16.61,immoscout
1400,89.21,15.69,immoscout
1820,112.23,16.22,immoscout
600,44,13.64,immoscout
780,14,55.71,immoscout
700,15,46.67,immoscout
1582.67,87,18.19,immoscout
780,18,43.33,immoscout
799,62.3,12.83,immoscout
500,40,12.50,immoscout
1490,50,29.80,immoscout
2000,147,13.61,immoscout
1656.63,108.56,15.26,immoscout
950,95,10.00,immoscout
805.37,86.32,9.33,immoscout
838.77,89.9,9.33,immoscout
851.64,91.28,9.33,immoscout
805.18,86.3,9.33,immoscout
827.94,88.74,9.33,immoscout
1050,110,9.55,immoscout
1807,120.41,15.01,immoscout
3704.63,419.55,8.83,immoscout
2148,143.13,15.01,immoscout
1606.56,100.41,16.00,immoscout
1422.82,57.78,24.62,immoscout
626.4,58,10.80,immoscout
1245,83,15.00,immoscout
499,37.17,13.42,immoscout
699,70.68,9.89,immoscout
800,32,25.00,immoscout
780,20,39.00,immoscout
950,46,20.65,immoscout
1050,40,26.25,immoscout
995.8,76.6,13.00,immoscout
1153.98,64.11,18.00,immoscout
2729.54,143.66,19.00,immoscout
999,50,19.98,immoscout
4962.24,270.25,18.36,immoscout
1950,154.6,12.61,immoscout
3405.94,179.26,19.00,immoscout
1811.27,95.33,19.00,immoscout
2105,87.7,24.00,immoscout
780,20,39.00,immoscout
2250,124.9,18.01,immoscout
750,28,26.79,immoscout
1300,121,10.74,immoscout
2400,173,13.87,immoscout
1280,53,24.15,immoscout
3320,207,16.04,immoscout
1250,57,21.93,immoscout
2650,106,25.00,immoscout
1249.92,55.8,22.40,immoscout
1327.5,106,12.52,immoscout
1083.48,90,12.04,immoscout
3075.15,161.85,19.00,immoscout
995,13.8,72.10,immoscout
1600,97,16.49,immoscout
875.89,69.46,12.61,immoscout
275.02,37.9,7.26,immoscout
2950,252,11.71,immoscout
1790,92,19.46,immoscout
795.94,46.82,17.00,immoscout
1800,94,19.15,immoscout
2995,168.23,17.80,immoscout
1950,100,19.50,immoscout
2650,134,19.78,immoscout
988,54,18.30,immoscout
1024,64,16.00,immoscout
950,26.9,35.32,immoscout
713.83,54.91,13.00,immoscout
1340.68,121.88,11.00,immoscout
1277,70,18.24,immoscout
371.67,61,6.09,immoscout
740,16,46.25,immoscout
1636.65,109.11,15.00,immoscout
449,35.69,12.58,immoscout
629,68,9.25,immoscout
699,57.84,12.09,immoscout
569,53.98,10.54,immoscout
599,45.84,13.07,immoscout
949,75.31,12.60,immoscout
459,35.69,12.86,immoscout
718,72.27,9.93,immoscout
1126.59,62.42,18.05,immoscout
1246.17,69.04,18.05,immoscout
850,62.69,13.56,immoscout
990,90.7,10.92,immoscout
607.73,69.06,8.80,immoscout
800,45,17.78,immoscout
1260,51,24.71,immoscout
992.25,66.15,15.00,immoscout
550,46,11.96,immoscout
1120,68,16.47,immoscout
960.05,66.21,14.50,immoscout
560,16,35.00,immoscout
780,42,18.57,immoscout
610,18,33.89,immoscout
590.12,72.3,8.16,immoscout
950,120,7.92,immoscout
1567.36,111.93,14.00,immoscout
800,24,33.33,immoscout
824,74.88,11.00,immoscout
507.24,53.79,9.43,immoscout
879,77.22,11.38,immoscout
699,61.87,11.30,immoscout
710,37,19.19,immoscout
998,49,20.37,immoscout
1700,114,14.91,immoscout
1900,95,20.00,immoscout
1100,53,20.75,immoscout
1900,142,13.38,immoscout
722.88,57.83,12.50,immoscout
1066.97,69.97,15.25,immoscout
905.38,62.44,14.50,immoscout
2050,132.14,15.51,immoscout
1420,88.58,16.03,immoscout
1595,82.75,19.27,immoscout
1870,118.37,15.80,immoscout
740,12,61.67,immoscout
430,30,14.33,immoscout
1507.75,81.5,18.50,immoscout
1700,115,14.78,immoscout
2035,146,13.94,immoscout
1710,116,14.74,immoscout
2215,119,18.61,immoscout
1800,91.77,19.61,immoscout
1760,59,29.83,immoscout
1290,54,23.89,immoscout
1250,75,16.67,immoscout
795,76,10.46,immoscout
1920,150,12.80,immoscout
555.88,56.32,9.87,immoscout
600,33,18.18,immoscout
640,8,80.00,immoscout
507,39,13.00,immoscout
1830,168,10.89,immoscout
1650,65,25.38,immoscout
1100,55,20.00,immoscout
2300,150,15.33,immoscout
1531.62,84.62,18.10,immoscout
841.19,43.1,19.52,immoscout
1860.9,96.67,19.25,immoscout
805,38,21.18,immoscout
1282.85,72.02,17.81,immoscout
568.48,25.68,22.14,immoscout
1126.6,65.31,17.25,immoscout
1226.91,66.68,18.40,immoscout
1214.57,66.37,18.30,immoscout
439.47,49.94,8.80,immoscout
1168.22,63.49,18.40,immoscout
1290,76,16.97,immoscout
800,31,25.81,immoscout
740,12,61.67,immoscout
2100,54,38.89,immoscout
1750,50,35.00,immoscout
789,43,18.35,immoscout
1305,90.5,14.42,immoscout
600,56,10.71,immoscout
2517.12,139.84,18.00,immoscout
1680,139.07,12.08,immoscout
820.35,54.69,15.00,immoscout
649.65,101.57,6.40,immoscout
405.03,58.02,6.98,immoscout
1500,80,18.75,immoscout
881.4,63.41,13.90,immoscout
800,74,10.81,immoscout
904.47,36.6,24.71,immoscout
1599,165.1,9.69,immoscout
1121.71,117.58,9.54,immoscout
1205.56,68.26,17.66,immoscout
777.49,32.56,23.88,immoscout
411.34,65.71,6.26,immoscout
1207,68.9,17.52,immoscout
1497,80.6,18.57,immoscout
1192,68.7,17.35,immoscout
700,16,43.75,immoscout
900,34.14,26.36,immoscout
1900,100.5,18.91,immoscout
730.2,73,10.00,immoscout
1283,102.63,12.50,immoscout
403.81,18.41,21.93,immoscout
450.27,17.46,25.79,immoscout
2100,160,13.13,immoscout
457.56,19.33,23.67,immoscout
421.37,21.71,19.41,immoscout
1050,44,23.86,immoscout
500,25,20.00,immoscout
3500,170,20.59,immoscout
2150,148,14.53,immoscout
1075,73.06,14.71,immoscout
800,62,12.90,immoscout
1300,98,13.27,immoscout
1023,62,16.50,immoscout
2000,118.4,16.89,immoscout
630,36.06,17.47,immoscout
1306.91,121.01,10.80,immoscout
2480,184,13.48,immoscout
950,75,12.67,immoscout
981,65.4,15.00,immoscout
834.37,63.21,13.20,immoscout
569,69,8.25,immoscout
1200,62,19.35,immoscout
579,73.08,7.92,immoscout
675,46.53,14.51,immoscout
890,22,40.45,immoscout
700,15,46.67,immoscout
2460.7,117,21.03,immoscout
1467.23,94.66,15.50,immoscout
605,42.45,14.25,immoscout
670,46.82,14.31,immoscout
695,43.21,16.08,immoscout
1150,82.16,14.00,immoscout
900,60.45,14.89,immoscout
1550,120.29,12.89,immoscout
750,48.59,15.44,immoscout
516.99,45.63,11.33,immoscout
601,55.3,10.87,immoscout
291.25,44.44,6.55,immoscout
1146.2,53.11,21.58,immoscout
2170.74,110.19,19.70,immoscout
1386,99.8,13.89,immoscout
380,20,19.00,immoscout
1069,84.14,12.71,immoscout
590,25,23.60,immoscout
1440,110,13.09,immoscout
1497,68.02,22.01,immoscout
604.27,81.99,7.37,immoscout
417,70.55,5.91,immoscout
542.52,49.32,11.00,immoscout
1686.66,120.45,14.00,immoscout
1000,67.6,14.79,immoscout
975,62.75,15.54,immoscout
1325,80.83,16.39,immoscout
975,62.75,15.54,immoscout
780,21,37.14,immoscout
780,17,45.88,immoscout
1209.52,119,10.16,immoscout
550,30,18.33,immoscout
1453.2,103.8,14.00,immoscout
1274.4,110.4,11.54,immoscout
800,24,33.33,immoscout
1500,80,18.75,immoscout
11500,385,29.87,immoscout
644.11,19.07,33.78,immoscout
343.07,47.19,7.27,immoscout
283.42,38.03,7.45,immoscout
682.45,31.89,21.40,immoscout
596.96,29.12,20.50,immoscout
3250,170,19.12,immoscout
381.07,54.13,7.04,immoscout
284.53,44.52,6.39,immoscout
1894,124,15.27,immoscout
797,51.39,15.51,immoscout
2399,170.2,14.10,immoscout
1996,126.78,15.74,immoscout
2200,135,16.30,immoscout
2040,120,17.00,immoscout
2040,120,17.00,immoscout
2040,120,17.00,immoscout
3459.52,182,19.01,immoscout
540,24.19,22.32,immoscout
3185.54,168,18.96,immoscout
690,53.24,12.96,immoscout
685,50.74,13.50,immoscout
705,60.83,11.59,immoscout
8900,462,19.26,immoscout
520.27,59,8.82,immoscout
717.97,63.99,11.22,immoscout
1100,69,15.94,immoscout
841.19,43.1,19.52,immoscout
1033.35,46.97,22.00,immoscout
465.44,57,8.17,immoscout
568.48,25.68,22.14,immoscout
1970,109,18.07,immoscout
1692,144,11.75,immoscout
1011.86,95.1,10.64,immoscout
1820,82.77,21.99,immoscout
1985,96.54,20.56,immoscout
2285,128,17.85,immoscout
1315,62.28,21.11,immoscout
1315,61.17,21.50,immoscout
1475,75.46,19.55,immoscout
1260,68,18.53,immoscout
1717,85,20.20,immoscout
640,14,45.71,immoscout
1074,138.58,7.75,immoscout
1799,106.7,16.86,immoscout
1640.45,92.16,17.80,immoscout
1205,50.23,23.99,immoscout
1512.55,179,8.45,immoscout
893,76,11.75,immoscout
1800,63,28.57,immoscout
1552,88.64,17.51,immoscout
659,54.82,12.02,immoscout
1500,76,19.74,immoscout
500,25,20.00,immoscout
350,25,14.00,immoscout
669,70.74,9.46,immoscout
549,56.95,9.64,immoscout
1200,48,25.00,immoscout
1849.4,132,14.01,immoscout
1450,51.59,28.11,immoscout
2564,172,14.91,immoscout
2104,135.76,15.50,immoscout
950,75.45,12.59,immoscout
1200,98,12.24,immoscout
1950,85,22.94,immoscout
754.81,75.99,9.93,immoscout
1300,68,19.12,immoscout
1766,150,11.77,immoscout
910.41,30.21,30.14,immoscout
769.17,27.36,28.11,immoscout
2250,134,16.79,immoscout
1140,40,28.50,immoscout
730.19,53.26,13.71,immoscout
3462,195,17.75,immoscout
950,29.37,32.35,immoscout
3500,200,17.50,immoscout
1680,77,21.82,immoscout
488.74,69.82,7.00,immoscout
1235,65,19.00,immoscout
1784,197.8,9.02,immoscout
1450,77,18.83,immoscout
1299,117.99,11.01,immoscout
1750,175.4,9.98,immoscout
750,77,9.74,immoscout
886.9,105.71,8.39,immoscout
383.18,51.09,7.50,immoscout
695.89,56.12,12.40,immoscout
1125.43,64.68,17.40,immoscout
1121.01,65.71,17.06,immoscout
1152.53,63.5,18.15,immoscout
1776.53,118.44,15.00,immoscout
1107.76,68.17,16.25,immoscout
4950,201,24.63,immoscout
720,32,22.50,immoscout
680,14,48.57,immoscout
449,34.38,13.06,immoscout
375,38,9.87,immoscout
12000,364.63,32.91,immoscout
2300,105,21.90,immoscout
1213.09,65.75,18.45,immoscout
690,46,15.00,immoscout
850,59.1,14.38,immoscout
1049,81.91,12.81,immoscout
1049,81.44,12.88,immoscout
1270,45,28.22,immoscout
1380,62.85,21.96,immoscout
850,38,22.37,immoscout
608,76,8.00,immoscout
2227.5,165,13.50,immoscout
1990,115.5,17.23,immoscout
1350,90,15.00,immoscout
730,23,31.74,immoscout
668,30,22.27,immoscout
1300,50,26.00,immoscout
1160,97.9,11.85,immoscout
1200,85,14.12,immoscout
1386.45,85.32,16.25,immoscout
845.54,50.33,16.80,immoscout
1197.87,73.72,16.25,immoscout
450,23,19.57,immoscout
700,31,22.58,immoscout
700,31,22.58,immoscout
900,56,16.07,immoscout
1808.8,90.44,20.00,immoscout
1291.59,66.4,19.45,immoscout
1092,84,13.00,immoscout
936,52,18.00,immoscout
930,68.58,13.56,immoscout
565,22.35,25.28,immoscout
334.22,41.57,8.04,immoscout
338.32,42.08,8.04,immoscout
316.05,39.31,8.04,immoscout
856.11,68.14,12.56,immoscout
1171.97,65.4,17.92,immoscout
1970,127,15.51,immoscout
1850,107,17.29,immoscout
1623.27,98.38,16.50,immoscout
2750,168.86,16.29,immoscout
2480,127,19.53,immoscout
2650,141.75,18.69,immoscout
1395,86.26,16.17,immoscout
1275,72.83,17.51,immoscout
1850,103.27,17.91,immoscout
1053,105.76,9.96,immoscout
1200,107,11.21,immoscout
613.73,58.89,10.42,immoscout
1911.42,136.53,14.00,immoscout
839.5,55.67,15.08,immoscout
770,65.36,11.78,immoscout
500,56.8,8.80,immoscout
676,76.2,8.87,immoscout
758,73.67,10.29,immoscout
1732.2,115.48,15.00,immoscout
540.05,83.6,6.46,immoscout
995,96.39,10.32,immoscout
740,17,43.53,immoscout
1890,135,14.00,immoscout
1650,109.42,15.08,immoscout
1393.44,108.27,12.87,immoscout
1100,61.76,17.81,immoscout
3050,125.54,24.30,immoscout
1899,96.6,19.66,immoscout
1559,115.48,13.50,immoscout
947,86.07,11.00,immoscout
1050,65.01,16.15,immoscout
1170,78,15.00,immoscout
840,22,38.18,immoscout
1277.86,99.29,12.87,immoscout
900,71.34,12.62,immoscout
600,45.7,13.13,immoscout
750,62.28,12.04,immoscout
700,15,46.67,immoscout
1160,95,12.21,immoscout
1547.7,103.18,15.00,immoscout
2018.72,126.17,16.00,immoscout
841.19,43.1,19.52,immoscout
588.71,52.47,11.22,immoscout
699,67.88,10.30,immoscout
559,54.04,10.34,immoscout
799,71.41,11.19,immoscout
780,21,37.14,immoscout
2138,117.8,18.15,immoscout
1400,49,28.57,immoscout
1037.34,89.49,11.59,immoscout
1100,85,12.94,immoscout
2200,99.17,22.18,immoscout
1073.77,85.69,12.53,immoscout
4995,219.97,22.71,immoscout
780,18,43.33,immoscout
3050,125.41,24.32,immoscout
1989,117.8,16.88,immoscout
2690,134.62,19.98,immoscout
1970,124.4,15.84,immoscout
1320,140,9.43,immoscout
1590,80.27,19.81,immoscout
750,27.8,26.98,immoscout
572,20.5,27.90,immoscout
541,20.5,26.39,immoscout
1023.3,60.55,16.90,immoscout
571,20.5,27.85,immoscout
2077,106.36,19.53,immoscout
571,20.5,27.85,immoscout
2077,112.71,18.43,immoscout
1333,66.4,20.08,immoscout
1491.8,82.6,18.06,immoscout
1200.2,66.4,18.08,immoscout
603,24.1,25.02,immoscout
2077,103.6,20.05,immoscout
3499,176.8,19.79,immoscout
645,27.8,23.20,immoscout
759,27.8,27.30,immoscout
530,20.5,25.85,immoscout
593,20.5,28.93,immoscout
899,72.53,12.39,immoscout
645,27.7,23.29,immoscout
